,Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
29,Fashion MNIST,Improved Noisy Student,10,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.881166667,0.881217327,0.013197761,0.881640505,0.990035138,0.931045591,456.1515772,3.610760212
30,MNIST 0-4,Baseline,1,None,0.981045752,0.981248349,0.004701656,0.98123421,0.999662106,0.998766069,2.925184727,0.388660669
31,MNIST 0-4,Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.987908497,0.98790521,0.003012104,0.987710957,0.99975338,0.999102063,22.80663753,0.688454628
32,MNIST 0-4,Improved Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.988888889,0.989012344,0.002766537,0.988785213,0.999793744,0.999266407,30.9282434,1.772390604
33,MNIST 0-4,Baseline,2,None,0.980392157,0.980883383,0.004869964,0.980205237,0.999525948,0.998287643,1.739373922,0.170998335
34,MNIST 0-4,Noisy Student,2,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.983986928,0.984200238,0.003989149,0.983721737,0.999703618,0.998893634,19.594311,0.695542574
35,MNIST 0-4,Improved Noisy Student,2,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 3",0.983006536,0.983088508,0.004250767,0.982967298,0.999712133,0.998898706,56.91037774,1.429242134
36,MNIST 0-4,Baseline,3,None,0.977124183,0.977735825,0.005627811,0.976371603,0.999371167,0.997910399,2.945824623,0.133782387
37,MNIST 0-4,Noisy Student,3,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.987908497,0.987891037,0.002988823,0.987426098,0.999795755,0.999234962,20.03693247,0.697939873
38,MNIST 0-4,Improved Noisy Student,3,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 3",0.988562092,0.988468929,0.002868418,0.988621702,0.999742126,0.999049212,56.07893658,2.087373018
39,MNIST 0-4,Baseline,4,None,0.987254902,0.987111532,0.003177167,0.987218051,0.999822012,0.999346206,1.961014986,0.175295353
40,MNIST 0-4,Noisy Student,4,"unl_factor: 0.1, threshold: 0.8, num_of_students: 2",0.989869281,0.989886889,0.00252845,0.989811081,0.999852833,0.999443904,22.58593988,0.369030237
41,MNIST 0-4,Improved Noisy Student,4,"unl_factor: 0.1, threshold: 0.8, num_of_students: 2, ensemble_size: 2",0.987908497,0.987837804,0.003016651,0.987872755,0.999703682,0.998909717,24.58915925,1.426103354
42,MNIST 0-4,Baseline,5,None,0.983986928,0.983766627,0.004037,0.984486074,0.99969693,0.998918285,2.199548721,0.13313365
43,MNIST 0-4,Noisy Student,5,"unl_factor: 0.1, threshold: 0.8, num_of_students: 3",0.989215686,0.989163193,0.00270565,0.989322097,0.999804142,0.999274942,23.06187844,0.703367472
44,MNIST 0-4,Improved Noisy Student,5,"unl_factor: 0.1, threshold: 0.8, num_of_students: 3, ensemble_size: 2",0.988562092,0.988609683,0.002864255,0.988621851,0.999730755,0.999149339,38.34999871,2.078923941
45,MNIST 0-4,Baseline,6,None,0.987908497,0.988065079,0.003012687,0.987819006,0.999725195,0.998974632,1.869997025,0.172778845
